,spp_name,z,c
100,PLA1PI,0.5949821216031086,-4.701965955299127
101,PLA2EL,0.6497035500276576,-5.166497090140311
102,POULAR,0.4274688104322153,-3.7460380023554825
103,POURBI,0.3023787403779768,-4.649242091060876
104,POUTRE,0.6394421036613362,-2.732543598858049
105,PRI2CO,0.2080251605159578,-2.616995636381272
106,PROTCO,0.41690925794073713,-3.0657083348924736
107,PROTPA,0.24280589697957766,-1.5138443627383789
108,PROTTE,0.1746664530131251,-1.0413003546353323
109,PSYCHO,0.357769359567464,-2.430437109293054
110,PSYCMA,0.34862422804511556,-3.053283095232896
111,PTERRO,0.2779442198731638,-0.5348572755526609
112,QUARAS,0.37856655616463175,-2.107951827526373
113,QUASAM,0.37917903222956184,-4.3535554239544965
114,RANDAR,0.4206754664462455,-1.6149094111658193
115,RINOSY,0.9540677452248059,-9.208085840307447
116,SENNDA,0.5640263175331616,-4.993645730045528
117,SIMAAM,0.36928633931976457,-1.9089427989737477
118,SIPAPA,0.4727995855257476,-3.3516860884125657
119,SLOATE,0.1737656135515676,-0.993203110330452
120,SOCREX,0.268736226540764,-3.3717150503245312
121,SOROAF,0.478306227702972,-2.037924024124419
122,SPONRA,0.46052384559571397,-4.223276587920834
123,STYLST,0.44542681708877035,-1.877876480924282
124,SWARS1,0.27459957047974554,-1.722805571660635
125,SWARS2,0.2665867962546539,-1.211119495497867
126,SYMPGL,0.397994103102128,-4.047076920066232
127,TAB1RO,0.8703385160171833,-6.517840038993897
128,TAB2AR,0.26523704080277116,-0.7842417265285647
129,TACHVE,0.3780693573062785,-2.537854134530779
130,TALINE,0.3730812042228573,-3.772509106639887
131,TALIPR,0.1693788932138559,-0.7343516919632761
132,TET2PA,0.34017476696857046,-1.8061122018256437
133,TRI2PA,0.26655028368312694,-1.603401064373964
134,TRI2TU,0.18877886807087085,-0.6051004470789412
135,TRIPCU,0.2875956413309215,-2.642215510303804
136,TROPRA,0.321187191214359,-1.8033033071281188
137,UNONPI,0.4402527314128148,-3.6952635099662623
138,VIROSE,0.37593241151434414,-1.9896731650489587
139,VIROSU,0.48842092168405454,-3.7259361982477093
140,XYL1MA,0.24209037542349918,-2.919420229546015
141,ZANTBE,0.5703854668659976,-4.90088388556593
142,ZANTP1,0.720611836237639,-6.0838583832857
